Name,",mse",si_mse,angular,psnr
abandoned_bakery_4k.exr,0.7828962,0.31820765,13.4722336824607,7.164191092820178
abandoned_church_4k.exr,0.36972055,0.089511424,1.5646571250735122,9.072774415168146
abandoned_factory_canteen_02_4k.exr,0.26197824,0.06967484,2.102745836109285,13.714242779806261
abandoned_games_room_01_4k.exr,0.31458616,0.16726354,1.4948250504781688,10.254718325744106
abandoned_games_room_02_4k.exr,0.87290245,0.16594324,1.636823992043401,5.5118380262455045
abandoned_greenhouse_4k.exr,0.93866485,0.062427036,1.4930852747471528,2.636009384289895
abandoned_hall_01_4k.exr,0.8081171,0.16335365,1.5773496748127984,3.896615250420954
abandoned_hopper_terminal_01_4k.exr,0.4675536,0.18656428,2.770943598308939,10.370514623371976
abandoned_hopper_terminal_02_4k.exr,0.42039344,0.26000977,6.325048423373282,11.580606210769528
abandoned_hopper_terminal_04_4k.exr,0.11853247,0.115456626,8.173483592626733,15.571804541001399
abandoned_parking_4k.exr,0.7514382,0.24530482,4.990963998912788,6.503886605629594
abandoned_pathway_4k.exr,0.29436383,0.17933983,6.732926053369137,14.69197796168719
abandoned_slipway_4k.exr,0.6430009,0.09934587,2.1126635627528887,5.356965994006453
abandoned_tank_farm_01_4k.exr,0.65128905,0.3338737,8.90154739461942,11.042762572773878
abandoned_tank_farm_02_4k.exr,0.09674761,0.08325657,5.612357373622882,17.40103212168062
abandoned_tank_farm_03_4k.exr,0.3311758,0.14279746,4.875177590457487,10.704423173042667
abandoned_tank_farm_04_4k.exr,0.4533738,0.31752387,8.196648164858397,12.899949848926651
abandoned_tank_farm_05_4k.exr,0.5188924,0.23123765,8.43768676726498,9.962373122149842
abandoned_workshop_02_4k.exr,0.2210895,0.10598481,6.287084842421518,17.783230564890363
abandoned_workshop_4k.exr,0.31114534,0.19388723,3.774189552975474,12.293412098747448
adams_place_bridge_4k.exr,0.93907,0.35965994,9.687528116345991,3.0108196301230548
aft_lounge_4k.exr,0.32965258,0.15272024,13.16074836832087,13.536958341528162
ahornsteig_4k.exr,1.3631566,0.3075085,0.924891703259337,2.8277228841338125
air_museum_playground_4k.exr,0.41244203,0.21740772,6.600664549013443,12.524371928360624
aircraft_workshop_01_4k.exr,0.32727107,0.18907146,9.205603511162431,13.058113709031803
amphitheatre_zanzibar_fort_4k.exr,0.62307864,0.20342086,4.842618042231639,7.659196598747781
anniversary_lounge_4k.exr,0.6200417,0.29787752,10.13302206040401,6.954570782956424
approaching_storm_4k.exr,0.5205224,0.16598195,6.983412850234165,9.504073495823175
arboretum_4k.exr,0.5663963,0.120471686,1.998378425033367,8.247625529191119
aristea_wreck_4k.exr,0.9155261,0.16725267,2.2310039932873242,5.637035004794556
aristea_wreck_puresky_4k.exr,0.8556479,0.06490411,0.5862583174801472,6.472732895984682
